,Start Actor,Start Actor URL,End Actor,End Actor URL,Distance
70,Bradley_Cooper,https://www.imdb.com/name/nm0177896,Adam_Sandler,https://www.imdb.com/name/nm0001191,2
71,Adam_Sandler,https://www.imdb.com/name/nm0001191,Bradley_Cooper,https://www.imdb.com/name/nm0177896,2
72,Bradley_Cooper,https://www.imdb.com/name/nm0177896,Scarlett_Johansson,https://www.imdb.com/name/nm0424060,1
73,Scarlett_Johansson,https://www.imdb.com/name/nm0424060,Bradley_Cooper,https://www.imdb.com/name/nm0177896,1
74,Bradley_Cooper,https://www.imdb.com/name/nm0177896,Sofia_Vergara,https://www.imdb.com/name/nm0005527,2
75,Sofia_Vergara,https://www.imdb.com/name/nm0005527,Bradley_Cooper,https://www.imdb.com/name/nm0177896,2
76,Bradley_Cooper,https://www.imdb.com/name/nm0177896,Chris_Evans,https://www.imdb.com/name/nm0262635,1
77,Chris_Evans,https://www.imdb.com/name/nm0262635,Bradley_Cooper,https://www.imdb.com/name/nm0177896,1
78,Adam_Sandler,https://www.imdb.com/name/nm0001191,Scarlett_Johansson,https://www.imdb.com/name/nm0424060,2
79,Scarlett_Johansson,https://www.imdb.com/name/nm0424060,Adam_Sandler,https://www.imdb.com/name/nm0001191,2
80,Adam_Sandler,https://www.imdb.com/name/nm0001191,Sofia_Vergara,https://www.imdb.com/name/nm0005527,2
81,Sofia_Vergara,https://www.imdb.com/name/nm0005527,Adam_Sandler,https://www.imdb.com/name/nm0001191,2
82,Adam_Sandler,https://www.imdb.com/name/nm0001191,Chris_Evans,https://www.imdb.com/name/nm0262635,2
83,Chris_Evans,https://www.imdb.com/name/nm0262635,Adam_Sandler,https://www.imdb.com/name/nm0001191,2
84,Scarlett_Johansson,https://www.imdb.com/name/nm0424060,Sofia_Vergara,https://www.imdb.com/name/nm0005527,1
85,Sofia_Vergara,https://www.imdb.com/name/nm0005527,Scarlett_Johansson,https://www.imdb.com/name/nm0424060,1
86,Scarlett_Johansson,https://www.imdb.com/name/nm0424060,Chris_Evans,https://www.imdb.com/name/nm0262635,1
87,Chris_Evans,https://www.imdb.com/name/nm0262635,Scarlett_Johansson,https://www.imdb.com/name/nm0424060,1
88,Sofia_Vergara,https://www.imdb.com/name/nm0005527,Chris_Evans,https://www.imdb.com/name/nm0262635,2
89,Chris_Evans,https://www.imdb.com/name/nm0262635,Sofia_Vergara,https://www.imdb.com/name/nm0005527,2
